algorithm,room_level,room_width,room_height,room_seed,trial,steps,revisits,turns,coverage_percent,overlap_ratio,travel_distance_cm,cleaning_time_sec,reached_target
ZigZag,simple,20,20,42,0,358,20,42,90.1596,0.0558659,7160,238.667,true
ZigZag+WallFollow,simple,20,20,42,0,358,20,42,90.1596,0.0558659,7160,238.667,true
RandomWalk,simple,20,20,42,0,200000,199925,10526,20.2128,0.999625,4e+06,133333,false
ZigZag+RandomEscape,simple,20,20,42,0,358,20,42,90.1596,0.0558659,7160,238.667,true
RandomWalk,simple,20,20,42,1,200000,199925,10526,20.2128,0.999625,4e+06,133333,false
ZigZag+RandomEscape,simple,20,20,42,1,358,20,42,90.1596,0.0558659,7160,238.667,true
RandomWalk,simple,20,20,42,2,200000,199925,10526,20.2128,0.999625,4e+06,133333,false
ZigZag+RandomEscape,simple,20,20,42,2,358,20,42,90.1596,0.0558659,7160,238.667,true
RandomWalk,simple,20,20,42,3,200000,199925,10526,20.2128,0.999625,4e+06,133333,false
ZigZag+RandomEscape,simple,20,20,42,3,358,20,42,90.1596,0.0558659,7160,238.667,true
RandomWalk,simple,20,20,42,4,200000,199925,10526,20.2128,0.999625,4e+06,133333,false
ZigZag+RandomEscape,simple,20,20,42,4,358,20,42,90.1596,0.0558659,7160,238.667,true
ZigZag,moderate,20,20,43,0,200000,199986,199986,4.33526,0.99993,4e+06,133333,false
ZigZag+WallFollow,moderate,20,20,43,0,200000,199986,199986,4.33526,0.99993,4e+06,133333,false
RandomWalk,moderate,20,20,43,0,200000,199866,14815,39.0173,0.99933,4e+06,133333,false
ZigZag+RandomEscape,moderate,20,20,43,0,1904,1593,1012,90.1734,0.83666,38080,1269.33,true
RandomWalk,moderate,20,20,43,1,200000,199853,14926,42.7746,0.999265,4e+06,133333,false
ZigZag+RandomEscape,moderate,20,20,43,1,868,557,332,90.1734,0.641705,17360,578.667,true
RandomWalk,moderate,20,20,43,2,200000,199854,14820,42.4855,0.99927,4e+06,133333,false
ZigZag+RandomEscape,moderate,20,20,43,2,850,539,302,90.1734,0.634118,17000,566.667,true
RandomWalk,moderate,20,20,43,3,200000,199853,14747,42.7746,0.999265,4e+06,133333,false
ZigZag+RandomEscape,moderate,20,20,43,3,1130,819,464,90.1734,0.724779,22600,753.333,true
RandomWalk,moderate,20,20,43,4,200000,199854,14882,42.4855,0.99927,4e+06,133333,false
ZigZag+RandomEscape,moderate,20,20,43,4,1032,721,429,90.1734,0.698643,20640,688,true
ZigZag,complex,20,20,44,0,200000,199951,78048,16.7785,0.999755,4e+06,133333,false
ZigZag+WallFollow,complex,20,20,44,0,200000,199803,57168,66.443,0.999015,4e+06,133333,false
RandomWalk,complex,20,20,44,0,200000,199844,15613,52.6846,0.99922,4e+06,133333,false
ZigZag+RandomEscape,complex,20,20,44,0,868,600,287,90.2685,0.691244,17360,578.667,true
RandomWalk,complex,20,20,44,1,200000,199844,15535,52.6846,0.99922,4e+06,133333,false
ZigZag+RandomEscape,complex,20,20,44,1,1053,785,382,90.2685,0.745489,21060,702,true
RandomWalk,complex,20,20,44,2,200000,199844,15596,52.6846,0.99922,4e+06,133333,false
ZigZag+RandomEscape,complex,20,20,44,2,1518,1250,761,90.2685,0.823452,30360,1012,true
RandomWalk,complex,20,20,44,3,200000,199844,15587,52.6846,0.99922,4e+06,133333,false
ZigZag+RandomEscape,complex,20,20,44,3,1391,1123,592,90.2685,0.807333,27820,927.333,true
RandomWalk,complex,20,20,44,4,200000,199844,15851,52.6846,0.99922,4e+06,133333,false
ZigZag+RandomEscape,complex,20,20,44,4,922,654,370,90.2685,0.709328,18440,614.667,true
ZigZag,simple,40,40,45,0,200000,198646,14700,89.8541,0.99323,4e+06,133333,false
ZigZag+WallFollow,simple,40,40,45,0,2438,1081,281,90.0531,0.443396,48760,1625.33,true
RandomWalk,simple,40,40,45,0,200000,199845,5128,10.3448,0.999225,4e+06,133333,false
ZigZag+RandomEscape,simple,40,40,45,0,2085,728,171,90.0531,0.349161,41700,1390,true
RandomWalk,simple,40,40,45,1,200000,199845,5128,10.3448,0.999225,4e+06,133333,false
ZigZag+RandomEscape,simple,40,40,45,1,2130,773,175,90.0531,0.362911,42600,1420,true
RandomWalk,simple,40,40,45,2,200000,199845,5128,10.3448,0.999225,4e+06,133333,false
ZigZag+RandomEscape,simple,40,40,45,2,2130,773,175,90.0531,0.362911,42600,1420,true
RandomWalk,simple,40,40,45,3,200000,199845,5128,10.3448,0.999225,4e+06,133333,false
ZigZag+RandomEscape,simple,40,40,45,3,2215,858,187,90.0531,0.387359,44300,1476.67,true
RandomWalk,simple,40,40,45,4,200000,199845,5128,10.3448,0.999225,4e+06,133333,false
ZigZag+RandomEscape,simple,40,40,45,4,2130,773,175,90.0531,0.362911,42600,1420,true
ZigZag,moderate,40,40,46,0,200000,199317,199399,50.2203,0.996585,4e+06,133333,false
ZigZag+WallFollow,moderate,40,40,46,0,200000,199165,49964,61.3803,0.995825,4e+06,133333,false
RandomWalk,moderate,40,40,46,0,200000,199560,9848,32.3789,0.9978,4e+06,133333,false
ZigZag+RandomEscape,moderate,40,40,46,0,14469,13244,7601,90.0147,0.915336,289380,9646,true
RandomWalk,moderate,40,40,46,1,200000,199560,10004,32.3789,0.9978,4e+06,133333,false
ZigZag+RandomEscape,moderate,40,40,46,1,5834,4609,2185,90.0147,0.790024,116680,3889.33,true
RandomWalk,moderate,40,40,46,2,200000,199560,9794,32.3789,0.9978,4e+06,133333,false
ZigZag+RandomEscape,moderate,40,40,46,2,5179,3954,1458,90.0147,0.763468,103580,3452.67,true
RandomWalk,moderate,40,40,46,3,200000,199560,10026,32.3789,0.9978,4e+06,133333,false
ZigZag+RandomEscape,moderate,40,40,46,3,7772,6547,3309,90.0147,0.842383,155440,5181.33,true
RandomWalk,moderate,40,40,46,4,200000,199560,9898,32.3789,0.9978,4e+06,133333,false
ZigZag+RandomEscape,moderate,40,40,46,4,3741,2516,918,90.0147,0.672547,74820,2494,true
ZigZag,complex,40,40,47,0,200000,199989,66666,1.03004,0.999945,4e+06,133333,false
ZigZag+WallFollow,complex,40,40,47,0,200000,199364,76012,54.6781,0.99682,4e+06,133333,false
RandomWalk,complex,40,40,47,0,200000,199410,8691,50.7296,0.99705,4e+06,133333,false
ZigZag+RandomEscape,complex,40,40,47,0,9428,8380,4681,90.0429,0.888842,188560,6285.33,true
RandomWalk,complex,40,40,47,1,200000,199417,8688,50.1288,0.997085,4e+06,133333,false
ZigZag+RandomEscape,complex,40,40,47,1,34524,33476,21861,90.0429,0.969644,690480,23016,true
RandomWalk,complex,40,40,47,2,200000,199447,8359,47.5536,0.997235,4e+06,133333,false
ZigZag+RandomEscape,complex,40,40,47,2,12159,11111,6790,90.0429,0.913809,243180,8106,true
RandomWalk,complex,40,40,47,3,200000,199450,8816,47.2961,0.99725,4e+06,133333,false
ZigZag+RandomEscape,complex,40,40,47,3,10439,9391,4706,90.0429,0.899607,208780,6959.33,true
RandomWalk,complex,40,40,47,4,200000,199450,8526,47.2961,0.99725,4e+06,133333,false
